Name,Coin 1,Coin 2,Digit to round,Min Price,Max Price,Price Increment,Amount Format in Market data book,Default Min Order Amount,Default Max Order Amount,Amount Increment
ADA/USD,ADA,USD,#.000000,0.001,999,0.000001,#.,1000,62000000,10
ADA/USDC,ADA,USDC,#.000000,0.001,999,0.000001,#.,1000,60000000,10
ADA/USDT,ADA,USDT,#.000000,0.001,999,0.000001,#.,1000,60000000,10
ATOM/USD,ATOM,USD,#.0000,0.01,999,0.0001,#.00,100,2000000,1
ATOM/USDC,ATOM,USDC,#.0000,0.01,999,0.0001,#.00,100,2000000,1
ATOM/USDT,ATOM,USDT,#.0000,0.01,999,0.0001,#.00,100,2000000,1
AVAX/USD,AVAX,USD,#.0000,0.01,999,0.0001,#.00,100,1500000,1
AVAX/USDC,AVAX,USDC,#.0000,0.01,999,0.0001,#.00,100,1500000,1
AVAX/USD,AVAX,USDT,#.0000,0.01,999,0.0001,#.00,100,1500000,1
BCH/USD,BCH,USD,#.00,1,9999,0.01,#.00,1,200000,0.1
BCH/BNB,BCH,BNB,#.00,1,9999,0.01,#.00,1,200000,0.1
BCH/USDT,BCH,USDT,#.00,1,9999,0.01,#.00,1,200000,0.1
BNB/USD,BNB,USD,#.00,1,9999,0.01,#.0,1,74000,0.1
BTC/USD,BTC,USD,#.00,100,9999999,0.01,#.0000,0.0001,1200,0.0001
BTC/USDC,BTC,USDC,#.00,100,9999999,0.01,#.0000,0.0001,1200,0.0001
BTC/USDT,BTC,USDT,#.00,100,9999999,0.01,#.0000,0.0001,1200,0.0001
DOGE/USD,DOGE,USD,#.00000,0.001,99,0.00001,#.,1000,245000000,100
DOGE/USDC,DOGE,USDC,#.00000,0.001,99,0.00001,#.,1000,245000000,100
DOGE/USDT,DOGE,USDT,#.00000,0.001,99,0.00001,#.,1000,245000000,100
DOT/USD,DOT,USD,#.0000,0.01,999,0.0001,#.00,100,3500000,1
DOT/USDC,DOT,USDC,#.0000,0.01,999,0.0001,#.00,100,3500000,1
DOT/USDT,DOT,USDT,#.0000,0.01,999,0.0001,#.00,100,3500000,1
ETH/USD,ETH,USD,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USDC,ETH,USDC,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USDT,ETH,USDT,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
LTC/USD,LTC,USD,#.0000,0.01,9999,0.0001,#.00,10,320000,1
LTC/USDC,LTC,USDC,#.0000,0.01,9999,0.0001,#.00,10,320000,1
LTC/USDT,LTC,USDT,#.0000,0.01,9999,0.0001,#.00,10,320000,1
MATIC/USD,MATIC,USD,#.00000,0.01,999,0.00001,#.00,1000,2400000,1
MATIC/USDC,MATIC,USDC,#.00000,0.01,999,0.00001,#.00,1000,2400000,1
MATIC/USDT,MATIC,USDT,#.00000,0.01,999,0.00001,#.00,1000,2400000,1
SHIB/USD,SHIB,USD,#.000000000,0.0000001,0.0009,0.000000001,#.,1000000,90000000000,100000
SHIB/USDC,SHIB,USDC,#.000000000,0.0000001,0.0009,0.000000001,#.,1000000,90000000000,100000
SHIB/USDT,SHIB,USDT,#.000000000,0.0000001,0.0009,0.000000001,#.,1000000,90000000000,100000
SOL/USD,SOL,USD,#.000,0.01,999,0.0001,#.00,1,1500000,1
SOL/USDC,SOL,USDC,#.000,0.01,999,0.0001,#.00,1,1500000,1
SOL/USDT,SOL,USDT,#.000,0.01,999,0.0001,#.00,1,1500000,1
USDC/USD,USDC,USD,#.000000,0.1,9,0.0001,#.00,1,99000000,1
USDT/USD,USDT,USD,#.000000,0.1,9,0.0001,#.00,1,99000000,1
XRP/USD,XRP,USD,#.00000,0.01,999,0.00001,#.0,100,50000000,10
XRP/USDC,XRP,USDC,#.00000,0.01,999,0.00001,#.0,100,50000000,10
XRP/USDT,XRP,USDT,#.00000,0.01,999,0.00001,#.0,100,50000000,10
USDC/USDT,USDC,USDT,#.000000,0.1,9,0.0001,#.,1000,10000000,1
LINK/USD,LINK,USD,#.000,0.1,999,0.001,#.0000,0.1,200000,
