Name,Coin 1,Coin 2,Digit to round,Min Price,Max Price,Price Increment,Amount Format in Market data book,Default Min Order Amount,Default Max Order Amount,Amount Increment
1INCH/EUR,1INCH,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
1INCH/USD,1INCH,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
AAVE/EUR,AAVE,EUR,#.00,1,9999,0.01,#.00,0.01,200000,0.01
AAVE/USD,AAVE,USD,#.00,1,9999,0.01,#.00,0.01,200000,0.01
ADA/EUR,ADA,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
ADA/USD,ADA,USD,#.000000,0.001,999,0.000001,#.,10,62000000,10
ALGO/EUR,ALGO,EUR,#.00000,0.01,999,0.00001,#.00,10,2400000,10
ALGO/USD,ALGO,USD,#.00000,0.01,999,0.00001,#.00,10,2400000,10
ALICE/EUR,ALICE,EUR,#.0000,0.01,999,0.0001,#.00,1,2000000,1
ALICE/USD,ALICE,USD,#.0000,0.01,999,0.0001,#.00,1,2000000,1
AMP/EUR,AMP,EUR,#.000000,0.0001,99,0.000001,#.,100,60000000,100
AMP/USD,AMP,USD,#.000000,0.0001,99,0.000001,#.,100,60000000,100
ANKR/EUR,ANKR,EUR,#.000000,0.001,999,0.000001,#.,100,60000000,100
ANKR/USD,ANKR,USD,#.000000,0.001,999,0.000001,#.,100,60000000,100
APE/EUR,APE,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
APE/USD,APE,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
API3/EUR,API3,EUR,#.0000,0.01,999,0.0001,#.00,1,2000000,1
API3/USD,API3,USD,#.0000,0.01,999,0.0001,#.00,1,2000000,1
ARB/EUR,ARB,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
ARB/USD,ARB,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
ATOM/EUR,ATOM,EUR,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
