Name,Coin 1,Coin 2,Digit to round,Min Price,Max Price,Price Increment,Amount Format in Market data book,Default Min Order Amount,Default Max Order Amount,Amount Increment
ADA/USD,ADA,USD,#.000000,0.001,999,0.000001,#.,10,62000000,10
ADA/USDC,ADA,USDC,#.000000,0.001,999,0.000001,#.,10,60000000,10
ADA/USDT,ADA,USDT,#.000000,0.001,999,0.000001,#.,10,60000000,10
ATOM/USDC,ATOM,USDC,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
ATOM/USDT,ATOM,USDT,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
AVAX/USDC,AVAX,USDC,#.0000,0.01,999,0.0001,#.00,0.1,1500000,0.1
AVAX/USDT,AVAX,USDT,#.0000,0.01,999,0.0001,#.00,0.1,1500000,0.1
BCH/BNB,BCH,BNB,#.00,1,9999,0.01,#.00,0.01,200000,0.01
BCH/USD,BCH,USD,#.00,1,9999,0.01,#.00,0.01,200000,0.01
BCH/USDT,BCH,USDT,#.00,1,9999,0.01,#.00,0.01,200000,0.01
BNB/USD,BNB,USD,#.00,1,9999,0.01,#.0,0.001,74000,0.001
BTC/USD,BTC,USD,#.00,100,9999999,0.01,#.0000,0.0001,1200,0.0001
BTC/USDC,BTC,USDC,#.00,100,9999999,0.01,#.0000,0.0001,1200,0.0001
BTC/USDT,BTC,USDT,#.00,100,9999999,0.01,#.0000,0.0001,1200,0.0001
DOGE/USD,DOGE,USD,#.00000,0.001,99,0.00001,#.,10,245000000,10
DOGE/USDC,DOGE,USDC,#.00000,0.001,99,0.00001,#.,10,245000000,10
DOGE/USDT,DOGE,USDT,#.00000,0.001,99,0.00001,#.,10,245000000,10
DOT/USD,DOT,USD,#.0000,0.01,999,0.0001,#.00,1,3500000,1
DOT/USDC,DOT,USDC,#.0000,0.01,999,0.0001,#.00,1,3500000,1
DOT/USDT,DOT,USDT,#.0000,0.01,999,0.0001,#.00,1,3500000,1
ETH/USD,ETH,USD,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USDC,ETH,USDC,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USDT,ETH,USDT,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
LINK/USD,LINK,USD,#.000,0.1,999,0.001,#.00,0.1,200000,0.1
LINK/USDC,LINK,USDC,#.000,0.1,999,0.001,#.00,0.1,200000,0.1
LINK/USDT,LINK,USDT,#.000,0.1,999,0.001,#.00,0.1,200000,0.1
LTC/USD,LTC,USD,#.0000,0.01,9999,0.0001,#.00,0.01,320000,0.01
LTC/USDC,LTC,USDC,#.0000,0.01,9999,0.0001,#.00,0.01,320000,0.01
LTC/USDT,LTC,USDT,#.0000,0.01,9999,0.0001,#.00,0.01,320000,0.01
POL/USD,POL,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
POL/USDC,POL,USDC,#.00000,0.01,999,0.00001,#.00,1,2400000,1
POL/USDT,POL,USDT,#.00000,0.01,999,0.00001,#.00,1,2400000,1
SHIB/USD,SHIB,USD,#.00000000,0.0000001,0.0009,0.000000001,#.,100000,90000000000,100000
SHIB/USDC,SHIB,USDC,#.00000000,0.0000001,0.0009,0.000000001,#.,100000,90000000000,100000
SHIB/USDT,SHIB,USDT,#.000000000,0.0000001,0.0009,0.000000001,#.,100000,90000000000,100000
SOL/EUR,SOL,EUR,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SOL/USD,SOL,USD,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SOL/USDC,SOL,USDC,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SOL/USDT,SOL,USDT,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
USDC/USD,USDC,USD,#.000000,0.1,9,0.00001,#.00,1,99000000,1
USDC/USDT,USDC,USDT,#.000000,0.1,9,0.00001,#.0,1,50000000,1
USDT/USD,USDT,USD,#.000000,0.1,9,0.00001,#.,1,99000000,1
XRP/USD,XRP,USD,#.00000,0.01,999,0.00001,#.00,1,50000000,1
XRP/USDC,XRP,USDC,#.00000,0.01,999,0.00001,#.00,1,50000000,1
XRP/USDT,XRP,USDT,#.00000,0.01,999,0.00001,#.00,1,50000000,1
