"Name","Coin 1","Coin 2","Digit to round","Min Price","Max Price","Price Increment","Amount Format in Market data book","Default Min Order Amount","Default Max Order Amount","Amount Increment"
"1INCH/EUR","1INCH",EUR,#.00000,0.01,999.0,0.00001,#.00,1.0,2400000.0,1.0
"1INCH/USD","1INCH",USD,#.00000,0.01,999.0,0.00001,#.00,1.0,2400000.0,1.0
AAVE/EUR,AAVE,EUR,#.00,1.0,9999.0,0.01,#.00,1.0,200000.0,0.1
AAVE/USD,AAVE,USD,#.00,1.0,9999.0,0.01,#.00,1.0,200000.0,0.1
ADA/EUR,ADA,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
ADA/USD,ADA,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,62000000,10.0
ADA/USDC,ADA,USDC,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
ADA/USDT,ADA,USDT,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
ALGO/EUR,ALGO,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ALGO/USD,ALGO,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ALICE/EUR,ALICE,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
ALICE/USD,ALICE,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
AMP/EUR,AMP,EUR,#.000000,0.0001,99.0,0.000001,#.,1000.0,60000000,10.0
AMP/USD,AMP,USD,#.000000,0.0001,99.0,0.000001,#.,1000.0,60000000,10.0
ANKR/EUR,ANKR,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
ANKR/USD,ANKR,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
APE/EUR,APE,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
APE/USD,APE,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
API3/EUR,API3,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
API3/USD,API3,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
ARB/EUR,ARB,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ARB/USD,ARB,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ATOM/EUR,ATOM,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
ATOM/USD,ATOM,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
ATOM/USDC,ATOM,USDC,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
ATOM/USDT,ATOM,USDT,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
AVAX/EUR,AVAX,EUR,#.0000,0.01,999.0,0.0001,#.00,10.0,1500000.0,1.0
AVAX/USD,AVAX,USD,#.0000,0.01,999.0,0.0001,#.00,10.0,1500000.0,1.0
AVAX/USDC,AVAX,USDC,#.0000,0.01,999.0,0.0001,#.00,10.0,1500000.0,1.0
AVAX/USDT,AVAX,USDT,#.0000,0.01,999.0,0.0001,#.00,10.0,1500000.0,1.0
AXS/EUR,AXS,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
AXS/USD,AXS,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
BAL/EUR,BAL,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
BAL/USD,BAL,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
BAND/EUR,BAND,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
BAND/USD,BAND,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
BAT/EUR,BAT,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
BAT/USD,BAT,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
BCH/BNB,BCH,BNB,#.00,1.0,9999.0,0.01,#.00,1.0,200000.0,0.1
BCH/EUR,BCH,EUR,#.00,1.0,9999.0,0.01,#.00,1.0,200000.0,0.1
BCH/USD,BCH,USD,#.00,1.0,9999.0,0.01,#.00,1.0,200000.0,0.1
BCH/USDT,BCH,USDT,#.00,1.0,9999.0,0.01,#.00,1.0,200000.0,0.1
BICO/EUR,BICO,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
BICO/USD,BICO,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
